,title,d23_link,summary
10,3D Jamboree,a-to-z/3d-jamboree-film/,"Special cartoon, shown only in the Fantasyland Theater at Disneyland beginning on June 16, 1956, containing footage of the Mouseketeers along with Working for Peanuts and Adventures in Music: Melody. Filmed in 3-D. Besides these, there were no other Disney 3-D films until Magic Journeys was produced for Epcot 25 years later."
11,4 Artists Paint 1 Tree,a-to-z/4-artists-paint-1-tree-film/,"16mm release title of a part of the television show An Adventure in Art; released in May 1964. Four Disney artists were asked to paint the same tree, and their differing styles created widely varying results. They explain their approach and interpretation."
12,40 Pounds of Trouble,a-to-z/40-pounds-of-trouble-film/,"Motion picture made by Universal in 1962, starring Tony Curtis and Suzanne Pleshette, notable for a lengthy chase scene that takes place inside Disneyland. This was the first non-Disney motion picture to use Disneyland as a setting."
13,4th of July Firecrackers,a-to-z/4th-of-july-firecrackers-film/,Shorts program; released by RKO in 1953.
14,7 Wise Dwarfs,a-to-z/7-wise-dwarfs-film/,"The film shows the advisability and necessity of purchasing Canadian war bonds. Made for the National Film Board of Canada. Delivered to them on December 12, 1941. The Dwarfs wisely invest in war bonds with their diamonds, with revamped lyrics to ""Heigh Ho."""
15,"ABC of Hand Tools, The",a-to-z/abc-of-hand-tools-the-film/,"Training film showing the proper use and care of common hand tools, as well as the type of work performed by each tool; made for General Motors Corporation and delivered to them on February 5, 1946. Directed by Bill Roberts. General Motors continued to use the film and several editions of the accompanying booklet for many years as part of its training course."
16,ABCD2,a-to-z/abcd2-film/,"The story of an Indian dance troupe. A motley assortment of boys and girls who come from the backstreets of a Mumbai suburb rise to fame, suffer a sudden downfall, and then go to a world hip-hop dance competition in Las Vegas to make an heroic attempt to seek vindication by regaining their lost glory and pride. ABCD2 (Any Body Can Dance) is a Hindi language film produced for Disney India by UTV Motion Pictures, directed by Remo D'Souza, and released on June 19, 2015, in India and the U.S. Stars Varun Dhawan (Suresh), Shraddha Kapoor (Vinnie), Lauren Gottlieb (Olive), Prabhu Deva (Vishnu Sir), Christine Vienna (Traveler). 154 min. A sequel to ABCD (2013)."
17,"Absent-Minded Professor, The",a-to-z/absent-minded-professor-the-film/,"For the third time, Professor Ned Brainard of Medfield College is so engrossed in a scientific experiment he fails to show up for his wedding with pretty Betsy Carlisle. But although he loses his girl to rival Professor Shelby Ashton, his absent-mindedness pays off with the creation of Flubber, a rubbery substance with an antigravity agent. With his new invention he is able to make the puny Medfield basketball team win against Rutland College, prevent a crook, Alonzo Hawk, from stealing Flubber, and win back Betsy, flying on a Flubberized Model T to Washington to give the powerful creation to a grateful government. Released on March 16, 1961. Directed by Robert Stevenson in black and white. 96 min. Stars Fred MacMurray (Ned Brainard), Nancy Olson (Betsy Carlisle), Keenan Wynn (Alonzo Hawk), Ed Wynn (Fire Chief), Tommy Kirk (Biff Hawk), Leon Ames (Rufus Daggett), Edward Andrews (Defense Secretary), and Elliott Reid (Shelby Ashton). The special effects were created by Robert A. Mattey and Eustace Lycett, who were nominated for an Academy Award, and included the sodium screen matte process, as well as miniatures and wire-supported mockups. The film's ""Medfield Fight Song"" was written by Richard M. Sherman and Robert B. Sherman, their first song for a Disney feature. The motion picture, made on a small budget, did fine business at the box office, led to a sequel, Son of Flubber, and had theatrical reissues in 1967 and 1974. Released on video in black and white in 1981 and 1993, and in a colorized version in 1986, after an airing on The Disney Channel in March of that year. This was the first Disney film to be colorized, but the process was still in its infancy and the results were less than spectacular. In 1988-89, two television episodes based on the film were produced, starring Harry Anderson. See also: Flubber."
18,Academy Award Review of Walt Disney Cartoons,a-to-z/academy-award-review-of-walt-disney-cartoons-film/,"Compilation of five Oscar-winning cartoons, Flowers and Trees, Three Little Pigs, The Tortoise and the Hare, Three Orphan Kittens, and The Country Cousin, released on May 19, 1937, partly to herald the forthcoming release of Walt's first feature-length animated film, Snow White and the Seven Dwarfs."
19,Adventures in Babysitting,a-to-z/adventures-in-babysitting-film/,"17-year-old Chris Parker's babysitting assignment turns to bedlam when a frightened friend calls her from a bus station. Packing her charges into the family station wagon, head for downtown Chicago to save the friend. They find themselves caught up in a comic nightmare in the urban jungle of the big city, a place very different from the suburbia which they know, tangling with car thieves, bums, and other unsavory characters. Released on July 1, 1987. Directed by Chris Columbus. A Touchstone film. 102 min. Stars Elisabeth Shue (Chris), Maia Brewton (Sara), Keith Coogan (Brad), Anthony Rapp (Daryl). Released on video in 1988. Coogan, under the name, Keith Mitchell, had provided the voice of the young Tod in The Fox and the Hound in 1981. Filmed on location in Chicago and Toronto. Released in England as A Night on the Town."
20,Adventures in Music: Melody,a-to-z/adventures-in-music-melody-film/,"Special cartoon; released on May 28, 1953. Directed by Charles Nichols and Ward Kimball. Professor Owl tries to teach his class about melody. Includes the song, ""The Bird and the Cricket and the Willow Tree."" First cartoon ever filmed in 3D. It was shown in the Fantasyland Theater at Disneyland as part of the 3D Jamboree. The 3D process never really caught on with theater audiences because of the need to wear the polarized glasses, but the show remained a novelty at Disneyland for several years. This film was the first in a proposed series of shorts where Professor Owl would teach musical principles to his class, but only one more, Toot, Whistle, Plunk and Boom, was made."
21,"Adventures of Bullwhip Griffin, The",a-to-z/adventures-of-bullwhip-griffin-the-film/,"At the time of the California Gold Rush, a young boy from Boston runs away to California to try and restore his family's fortune, pursued by the very proper family butler. The butler, Griffin, as the result of a lucky punch, becomes mistakenly renowned as a boxer. In a series of adventures, both boy and butler tangle with a crook who uses many disguises. But they find their fortune, and the staid butler becomes his own man and marries the boy's attractive older sister. Released on March 3, 1967. Directed by James Neilson. 110 min. Stars Bryan Russell (Jack Flagg), Roddy McDowall (Bullwhip Griffin), Suzanne Pleshette (Arabella Flagg), Karl Malden (Judge Higgins), Harry Guardino (Sam Trimble), Richard Haydn (Quentin Bartlett), Hermione Baddeley (Irene Chesney). Haydn had 16 years earlier voiced the Caterpillar in Alice in Wonderland. Released on video in 1986. Based on the book, By the Great Horn Spoon, by Sid Fleischman. Ward Kimball was credited with ""titles and things,"" which included some inventive animation tidbits."
22,"Adventures of Huck Finn, The",a-to-z/adventures-of-huck-finn-the-film/,"A carefree boy who hates his stifled existence under adoption to the Widow Douglas and Miss Watson fakes his own murder and sets off down the Mississippi with a runaway slave, Jim, as a companion. Jim dreams of travelling down river to Cairo, Illinois, to buy his wife and children out of bondage. Along the way, Huck and Jim escape a deadly feud between two neighboring families and meet up with two crafty con men, the King and the Duke. When these two attempt to steal the family fortune of the wealthy Wilks family, Huck cannot stand for it, and he tries to destroy their plot. His success brings him the gratitude of the Wilks sisters, who help Jim buy back his family. Based on the Mark Twain book. Released on April 2, 1993. Directed by Stephen Sommers. 108 min. Stars Elijah Wood (Huck), Courtney B. Vance (Jim), Robbie Coltrane (The Duke), Jason Robards (The King). Primary filming took place in the vicinity of Natchez, Mississippi. Released on video in 1993."
23,"Adventures of Ichabod and Mr. Toad, The",a-to-z/adventures-of-ichabod-and-mr-toad-the-film/,"The film begins in a library with actor Basil Rathbone telling the tale of The Wind in the Willows (from the book by Kenneth Grahame), about Mr. Toad, Squire of Toad Hall, whose love for transportation vehicles was insatiable. His friends, Rat, Mole, and MacBadger try to help him when his mania leads to the loss of the deed to Toad Hall and a charge of car theft. Toad is thrown in jail, but on escaping, he learns Winkie, the tavernkeeper, and the weasels have taken over Toad Hall, and with his friends, Toad redeems his good name by recovering the deed to the estate and promises to reform, until he eyes a 1908 biplane. Back in the library, singer Bing Crosby picks up with The Legend of Sleepy Hollow (by Washington Irving), in which Ichabod Crane, a new schoolteacher, arrives in Sleepy Hollow and captures every lady's heart except for Katrina Van Tassel, daughter of a wealthy farmer. Ichabod has his eye on the Van Tassel wealth, but his attempts to woo Katrina disturb her bold suitor, Brom Bones, who tries to scare Ichabod away with the tale of the Headless Horseman. As Ichabod rides home that Halloween evening, he encounters the terrifying phantom and is mysteriously missing the next morning. While the townspeople spread rumors of Ichabod's whereabouts, Katrina weds Brom. Released October 5, 1949. Directed by Jack Kinney, Clyde Geronimi, and James Algar. 68 min. Voices in the Mr. Toad segment included Eric Blore as Toad, J. Pat O'Malley as Cyril, his horse, and Claud Allister and Collin Campbell as his friends, Rat and Mole. Songs include ""Ichabod,"" ""Katrina,"" ""The Headless Horseman,"" and ""The Merrily Song."" This was the last of the several package pictures of the 1940s, during which the Walt Disney Studio had deep economic problems. Expenses were lowered by reusing animation cycles from The Old Mill (1937) and by patterning Katrina closely on Grace Martin from The Martins and the Coys. Henceforth, Walt Disney would be able to finance the production of regular, one-story, animated features, beginning the next year with Cinderella. Its success ensured the continuation of animation at the Studio. The entire film of The Adventures of Ichabod and Mr. Toad was not initially released on video cassette, but the two parts were released separately. The complete feature was released on laserdisc in 1992, and on video in 1999."
24,"Adventures of J. Thaddeus Toad, The",a-to-z/adventures-of-j-thaddeus-toad-the-film/,"Educational title of the featurette released theatrically as The Madcap Adventures of Mr. Toad and Wind in the Willows, released in September 1980. Originally part of The Adventures of Ichabod and Mr. Toad."
25,"Adventures of Tom Thumb & Thumbelina, The",a-to-z/adventures-of-tom-thumb-thumbelina-the-film/,"Direct-to-video release on August 6, 2002, of an animated feature produced by Hyperion Studio. Thumbelina, a young teenage girl, is only six inches tall. She meets Tom Thumb, a teenager just a little shorter than herself, and the two embark on a fantastic quest together, leading them to the comically villainous Mole King. Directed by Glenn Chaika. Voices include Jennifer Love Hewitt (Thumbelina), Elijah Wood (Tom Thumb), Peter Gallagher (Mole King), Bebe Neuwirth (Queen Mother), Michael Chiklis (Roman), Robert Guillaume (Ben)."
26,Advice on Lice,a-to-z/advice-on-lice-film/,"Educational film, released in September 1985. Facts about the symptoms, transmission, treatment, and prevention of head lice."
27,Aesop's Hare and the Tortoise,a-to-z/aesops-hare-and-the-tortoise-film/,"Educational film, released in September 1986. 14 min. Walt Disney introduces an animated overview of Aesop's life, by way of footage from one of his television lead-ins, followed by the popular fable. Retitled in 1987 as An Introduction to Aesop."
28,Africa Before Dark,a-to-z/africa-before-dark-film/,"Oswald the Lucky Rabbit cartoon; released on February 20, 1928."
29,African Cats,a-to-z/african-cats-kingdom-of-courage-film/,"Disneynature documentary, released in the U.S. on April 22, 2011, after an April 21 release in Argentina. In one of the wildest places on earth, we meet Mara, an endearing lion cub, who strives to grow up with her mother's strength, spirit, and wisdom; Sita, a fearless cheetah and single mother of five mischievous newborns; and Fang, a proud leader of the pride who must defend his family from a rival lion and his sons. Directed by Keith Scholey and Alastair Fothergill. Narrated by Samuel L. Jackson. 89 min. The cinematographers Owen Newman and Sophie Darlington spent two and a half years filming in the 580 square mile Masai Mara National Reserve in Kenya, one of the few remaining places in Africa where the big African cats-lions, cheetahs, and leopards-live in large numbers and in close proximity."
30,African Diary,a-to-z/african-diary-film/,"Goofy cartoon. Goofy bungles his way on safari in deepest Africa. The safari ends abruptly when a rhino chases Goofy and his safari all the way back to their ship on the Ivory Coast. Released on April 20, 1945; directed by Jack Kinney."
31,"African Lion and His Realm, The",a-to-z/african-lion-and-his-realm-the-film/,"Portion of The African Lion, released on 16mm for schools in May 1969. A study of the lion reveals little-known facts about his domain and about other predators and grazers that live there."
32,"African Lion, The",a-to-z/african-lion-the-film/,"True-Life Adventure feature, released on September 14, 1955. Directed by James Algar, with a notable musical score by Paul Smith. The photography team of Alfred and Elma Milotte spent three years in Africa studying the realm of the king of beasts, and came up with some fascinating footage of not only lions but giraffes, rhinoceroses, elephants, and baboons. The effects of a drought on the animals and the eventual tropical storms that end it round out the motion picture. The cost of film was not a major factor; the Milottes shot until they got the footage that would make an interesting film. Eventually only about six percent of the film they shot was used in the final production. The movie's theme of the annual life cycle would years later be echoed in ""The Circle of Life"" in The Lion King. 72 min. See His Majesty, King of the Beasts for the abridged 1958 television airing. For behind-the-scenes footage, see Beaver Valley/Cameras in Africa."
33,After You've Gone,a-to-z/after-youve-gone-film/,"A segment of Make Mine Music, with the Benny Goodman Quartet, using the song by Henry Creamer and Turner Leighton; a surreal episode with anthropomorphic musical instruments."
34,AIDS,a-to-z/aids-film/,"Educational film, released in September 1986. 18 min. Facts on the human immune system and the AIDS virus. The film was revised a year later, with updated information."
35,AIDS: What Do We Tell Our Children?,a-to-z/aids-what-do-we-tell-our-children-film/,"Educational film, released in August 1987. 20 min. The facts about AIDS presented to children."
36,AIDS: You've Got to Do Something,a-to-z/aids-youve-got-to-do-something-film/,"Educational film, released in June 1992. 19 min. Narrated by Mayim Bialik. Provides teens with important facts about HIV and AIDS, with peer discussion and role playing used to encourage them to become aware of individual and social responsibilities to help stop the spread of the disease."
37,Air Bud,a-to-z/air-bud-film/,"An aspiring 12-year-old basketball player, Josh Framm, trying to deal with the death of his father, moves with his family to the sleepy town of Fernfield, Washington, where he has no friends and is too shy to try out for the school basketball team. One day, he finds a runaway golden retriever while practicing on an abandoned court. The amazing thing about Buddy, the dog, is that he can accurately shoot hoops! Soon the two make the school basketball team and astound the media. But, there are problems when Buddy's bad-guy former owner, Norm Snively, discovers what is happening and comes up with a scheme to cash in on the dog's popularity. Josh and Buddy must keep one step ahead of Snively while rallying the town's school team as they aim for the state basketball finals. Directed by Charles Martin Smith. Released on August 1, 1997. Stars Kevin Zegers (Josh Framm), Michael Jeter (Norm Snively), Wendy Makkena (Jackie Framm), Eric Christmas (Judge Cranfield), Brendan Fletcher (Larry Willingham). 98 min. The dog, Buddy, was discovered by his trainer, Kevin DiCicco, when he crawled out of the woods near DiCicco's cabin in the mountains near Yosemite National Park. The abused year-old dog was dirty and hungry, and DiCicco worked many months to get him back into shape, eventually discovering his talents. Buddy was soon making regular appearances, including two on David Letterman's ""Stupid Pet Tricks."" The town of Fernfield was created by the filmmakers in the environs of Vancouver, British Columbia. A sequel, Air Bud: Golden Receiver, starring Kevin Zegers (Josh Framm) and directed by Richard Martin, was released by Buena Vista Home Entertainment. There were three further video sequels: Air Bud: World Pup, Air Bud: Seventh Inning Fetch, and Air Bud Spikes Back."
38,Air Bud Spikes Back,a-to-z/air-bud-spikes-back-film/,"Direct-to-video sequel produced by Keystone Entertainment; released on June 24, 2003 by Walt Disney Home Entertainment. Andrea Framm's best friend is moving out of town, so, to make new friends, she and Buddy join the local beach volleyball team. Directed by Robert Vince. Stars Katija Pevec (Andrea), Jake D. Smith (Noah), Tyler Boissonnault (Connor), Cynthia Stevenson (Jackie), Edie McClurg (Grandma). 87 min."
39,Air Bud: Golden Receiver,a-to-z/air-bud-golden-receiver-film/,"Sequel to 1997's Air Bud; released on August 14, 1998. The basketball playing dog, Buddy, helps out his best friend, Josh, by demonstrating that he also has amazing football talents to help Josh's team win the state championship. Directed by Richard Martin. Stars Kevin Zegers (Josh Framm), Cynthia Stevenson (Jackie), Gregory Harrison (Patrick). 90 min. Produced by Keystone Pictures and Dimension Films; released on video labelled ""Disney Presents"" by Buena Vista Home Entertainment."
40,Air Bud: Seventh Inning Fetch,a-to-z/air-bud-seventh-inning-fetch-film/,"The fourth film in the series, produced by Keystone Entertainment and released direct-to-video on June 18, 2002, by Walt Disney Home Entertainment. Andrea Framm joins the junior high school baseball team to escape the tedium of her home life. While she is not very good, her dog Buddy is a natural. But scientists interested in cloning kidnap the dog just before the big game. Directed by Robert Vince. Stars Caitlin Wachs (Andrea Framm), Richard Karn (Patrick), Cynthia Stevenson (Jackie), Kevin Zegers (Josh). 90 min."
41,Air Bud: World Pup,a-to-z/air-bud-world-pup-film/,"Direct-to-video sequel to Air Bud (1997) and Air Bud Golden Receiver (1998); released on December 12, 2000. Buddy's owner, Josh Framm, falls in love with his sister's new soccer coach, Emma, who also happens to be the only female on his high school's soccer team. Josh and Buddy join the soccer team, and Buddy himself falls in love with Emma's golden retriever, Molly. After some drama with kidnapped puppies, Buddy helps the team win the championship. Directed by Bill Bannerman. Stars Kevin Zegers (Josh Framm), Brittany Paige Bouck (Emma Putter), Caitlin Wachs (Andrea), Dale Midkiff (Patrick Framm). Several U.S. women's soccer players make cameo appearances. An Air Bud television series from Keystone Entertainment was not a Disney project."
42,Air Buddies,a-to-z/air-buddies-film/,"Direct-to-DVD release on December 12, 2006. The dogs, Buddy and Molly, are dognapped, and their puppies, B-Dawg, Budderball, Mudbud, Buddha, and Rosebud, collectively known as the Buddies, are off to save them. Along the way, the bumbling villains Denning and Grim constantly try to capture the puppies. And now, for the first time, the animals talk. Directed by Robert Vince. Voices include Skyler Gisondo (B-Dawg), Josh Flitter (Budderball), Spencer Fox (Mudbud), Dominic Scott Kay (Buddha), Abigail Breslin (Rosebud), Tom Everett Scott (Buddy), Molly Shannon (Molly), Paul Rae (Denning), Trevor Wright (Grim). It was the final film role for Patrick Cranshaw (Sheriff Bob) and for Don Knotts (Deputy Sniffer). From Key Pix Productions and Buena Vista Home Entertainment. See also Snow Buddies, Space Buddies, Santa Buddies, and Spooky Buddies"
43,"Air Up There, The",a-to-z/air-up-there-the-film/,"Assistant college basketball coach Jimmy Dolan is a competitive sportsman with a goal of taking over when his boss, Coach Ray Fox, retires. However, in order to be considered for the position, Jimmy needs to prove that he knows how to recruit star talent. Since all the best players are signing with competing schools, the chances for Jimmy's advancement look bleak until he gets the wild idea to scout for a wonder player in Africa. In Kenya he discovers a tall Winabi warrior, Saleh, who cannot be dazzled by fast-talking recruiting techniques and promises of wonderful gifts and flashy cars. Jimmy's high-pressure techniques clash with the local customs, but he is finally able to prove himself when the tables are turned and he himself is recruited by the Winabi to help coach their misfit team so they can beat the team of a neighboring tribe, the Mingori, in a game with extremely high stakes-the Winabi's land, their cattle, and the future of the tribe. As a reward, Jimmy is able to draft the star player he needs. Directed by Paul M. Glaser. Released on January 7, 1994. A Hollywood Pictures film, in association with Interscope Communications. 107 min. Stars Kevin Bacon (Jimmy Dolan), Charles Gitonga Maina (Saleh), Yolanda Vazquez (Sister Susan), Winston Ntshona (Urudu). The filmmakers utilized the Samburu tribe of Northern Kenya, but transported them to the primary location in Hoedspruit, South Africa for the filming. Other filming took place in Canada and Kenya. Released on video in 1994."
44,Aladdin,a-to-z/aladdin-film/,"Animated feature about a street-smart young thief in the mythical city of Agrabah who meets and falls in love with the Sultan's beautiful daughter, Jasmine, a liberated young lady who seeks to escape her present lifestyle. Help comes when the evil vizier, Jafar, plots to get a magic lamp for his own rise to power, and decides he needs Aladdin, a true ""diamond in the rough,"" to seek the lamp in the Cave of Wonders. Aladdin and his friend, the monkey Abu, gain the lamp and the wise-cracking Genie inside for themselves. The Genie changes Aladdin into a prince so he can woo the princess, but the deception fails to impress Jasmine. As his true self, however, he uses his cunning and courage, with the help of the Genie, to defeat Jafar and his evil plans, in the end earning a princely title and the princess. Initial release on November 11, 1992; general release on November 25, 1992. Directed by John Musker and Ron Clements. 90 min. Aladdin has a speaking voice provided by Scott Weinger and a singing voice by Brad Kane. Other voices are Robin Williams (Genie), Jonathan Freeman (Jafar), Linda Larkin (Jasmine speaking), Lea Salonga (Jasmine singing), and Gilbert Gottfried (Iago). The idea of adapting the Aladdin story as a Disney animated musical was first proposed by Howard Ashman in 1988 when he and Alan Menken were still working on The Little Mermaid. He wrote an initial treatment and collaborated on six songs with Menken, including ""Arabian Nights,"" ""Friend Like Me,"" and ""Prince Ali."" After Ashman's death in 1991, Tim Rice came on board to write some additional songs, notably ""One Jump Ahead"" and ""A Whole New World."" The art directors were influenced by Persian miniatures and Arabian calligraphy. Supervising animator Eric Goldberg, who created the Genie, was the first animator to work on the project. He was heavily influenced by the curved, fluid caricature style of artist Al Hirschfeld. Computer-generated imagery enabled the filmmakers to create the amazing magic carpet ride through the Cave of Wonders, the intricately-patterned carpet itself, and the stunning tiger head cave. The film won Academy Awards for Best Song (""A Whole New World"") and Best Original Score. The film became the highest grossing animated film to date, earning over $200 million domestically. The video release in 1993 also set records. There were two made-for-video sequels-The Return of Jafar and Aladdin and the King of Thieves."
